altitude_m,distancia_proximo_m,id,id_original,inclinacao_percentual,lat,latitude,lon,longitude,origem,tipo
817.0,1084.12,23,23,1.937,-22.5060748432939,-22.5060748432939,-43.1799495220184,-43.1799495220184,,no
838.0,1435.806,24,24,-1.045,-22.5107035371053,-22.5107035371053,-43.189238011837,-43.189238011837,,no
823.0,45.713,25,25,2.188,-22.5098586336694,-22.5098586336694,-43.1752905250617,-43.1752905250617,,no
824.0,993.022,26,26,-0.705,-22.5100444288633,-22.5100444288633,-43.1756874919959,-43.1756874919959,,no
817.0,906.836,27,27,3.639,-22.5072493767313,-22.5072493767313,-43.1848686933518,-43.1848686933518,,no
850.0,1450.805,28,28,-1.654,-22.5153841097702,-22.5153841097702,-43.1854963302612,-43.1854963302612,,no
826.0,1919.212,29,29,0.104,-22.5088723970247,-22.5088723970247,-43.1732574105263,-43.1732574105263,,no
828.0,1827.186,30,30,0.438,-22.5045162111456,-22.5045162111456,-43.1913354512419,-43.1913354512419,,no
836.0,3040.185,31,31,1.151,-22.5207283107585,-22.5207283107585,-43.1884333491325,-43.1884333491325,,no
871.0,4744.06,32,32,-0.59,-22.5292093319078,-22.5292093319078,-43.2165724039078,-43.2165724039078,,no
843.0,2926.261,33,33,-0.752,-22.5233127217564,-22.5233127217564,-43.1708273291588,-43.1708273291588,,no
821.0,1361.543,34,34,3.379,-22.5072621556448,-22.5072621556448,-43.1934032849892,-43.1934032849892,,no
867.0,2201.055,35,35,-1.954,-22.5194946563313,-22.5194946563313,-43.1939935684204,-43.1939935684204,,no
824.0,824.541,36,36,-0.485,-22.5100097388237,-22.5100097388237,-43.175185918808,-43.175185918808,,no
820.0,1348.715,37,37,0.445,-22.5087485472549,-22.5087485472549,-43.1830957531929,-43.1830957531929,,no
826.0,1840.918,38,38,-0.054,-22.5073856616108,-22.5073856616108,-43.1700494885445,-43.1700494885445,,no
825.0,2724.767,39,39,0.844,-22.5077201784727,-22.5077201784727,-43.187966644764,-43.187966644764,,no
848.0,2118.677,40,40,-1.322,-22.5278442147209,-22.5278442147209,-43.1728309392929,-43.1728309392929,,no
820.0,2571.752,41,41,2.061,-22.5088377067139,-22.5088377067139,-43.17428201437,-43.17428201437,,no
873.0,2049.377,42,42,-0.146,-22.5229831978814,-22.5229831978814,-43.1940901279449,-43.1940901279449,,no
870.0,3993.874,43,43,-1.152,-22.5303663262924,-22.5303663262924,-43.2123720645905,-43.2123720645905,,no
824.0,591.063,44,44,0.0,-22.5117194507215,-22.5117194507215,-43.1791394948959,-43.1791394948959,,no
824.0,153.417,45,45,2.607,-22.5092515110073,-22.5092515110073,-43.1740432977676,-43.1740432977676,,no
828.0,3376.754,46,46,0.207,-22.5086149073649,-22.5086149073649,-43.1727182865143,-43.1727182865143,,no
835.0,2812.681,47,47,-0.213,-22.5294100104293,-22.5294100104293,-43.1966757774353,-43.1966757774353,,no
829.0,3277.049,48,48,0.519,-22.5112288842316,-22.5112288842316,-43.1776374578476,-43.1776374578476,,no
846.0,3034.163,49,49,-0.758,-22.5323755590349,-22.5323755590349,-43.199859559536,-43.199859559536,,no
823.0,707.082,50,50,-0.283,-22.5099031908607,-22.5099031908607,-43.1831037998199,-43.1831037998199,,no
821.0,306.103,51,51,1.96,-22.507638407755,-22.507638407755,-43.1766718626022,-43.1766718626022,,no
